weight_bits,activation_bits,prune_ratio,baseline_accuracy,test_accuracy,accuracy_drop,test_loss,model_size_mb,original_model_mb,model_compression_ratio,activation_compression_ratio,activation_original_mb,activation_compressed_mb,final_sparsity,weight_value_mb,mask_overhead_mb,scale_overhead_mb,fp32_exception_mb,runtime_seconds
7,8,0.1,95.11,94.14,0.9699999999999989,0.23531206407546998,2.1119372844696045,8.532264709472656,4.0400180309404705,3.9999945989073438,598.9267578125,149.73189163208008,0.10003178120005807,1.6541049480438232,0.26256561279296875,0.06510162353515625,0.13016510009765625,49.79678988456726
7,8,0.2,95.11,94.0,1.1099999999999994,0.22513217313289643,1.9281989336013794,8.532264709472656,4.4249919242184115,3.9999945989073438,598.9267578125,149.73189163208008,0.20000045401714373,1.4703665971755981,0.26256561279296875,0.06510162353515625,0.13016510009765625,56.694889068603516
7,8,0.3,95.11,91.53,3.5799999999999983,0.30059262733459474,1.7444038391113281,8.532264709472656,4.891221010966903,3.9999945989073438,598.9267578125,149.73189163208008,0.30000000000000004,1.2865715026855469,0.26256561279296875,0.06510162353515625,0.13016510009765625,50.88507580757141
8,7,0.0,95.11,91.85,3.260000000000005,0.3495202961921692,2.2957916259765625,8.532264709472656,3.71648045621008,4.571421516941565,598.9267578125,131.01543045043945,0.012515890600029111,2.10052490234375,0.0,0.06510162353515625,0.13016510009765625,56.226662158966064
8,7,0.1,95.11,91.34,3.769999999999996,0.3634552262306213,2.3483047485351562,8.532264709472656,3.6333719951786403,4.571421516941565,598.9267578125,131.01543045043945,0.09999999999999998,1.890472412109375,0.26256561279296875,0.06510162353515625,0.13016510009765625,47.86899495124817
8,7,0.2,95.11,91.33,3.780000000000001,0.3404358155250549,2.1382522583007812,8.532264709472656,3.99029846752181,4.571421516941565,598.9267578125,131.01543045043945,0.19999999999999996,1.680419921875,0.26256561279296875,0.06510162353515625,0.13016510009765625,48.99214816093445
8,7,0.3,95.11,87.71,7.400000000000006,0.4352245606422424,1.9281997680664062,8.532264709472656,4.424990009219216,4.571421516941565,598.9267578125,131.01543045043945,0.30000000000000004,1.470367431640625,0.26256561279296875,0.06510162353515625,0.13016510009765625,48.119094133377075
8,8,0.0,95.11,94.49,0.6200000000000045,0.22495035021305085,2.2957916259765625,8.532264709472656,3.71648045621008,3.9999945989073438,598.9267578125,149.73189163208008,0.012515890600029111,2.10052490234375,0.0,0.06510162353515625,0.13016510009765625,47.81294798851013
8,8,0.1,95.11,94.41,0.7000000000000028,0.23690082573890686,2.3483047485351562,8.532264709472656,3.6333719951786403,3.9999945989073438,598.9267578125,149.73189163208008,0.09999999999999998,1.890472412109375,0.26256561279296875,0.06510162353515625,0.13016510009765625,47.614821910858154
8,8,0.2,95.11,94.2,0.9099999999999966,0.22063979873657227,2.1382522583007812,8.532264709472656,3.99029846752181,3.9999945989073438,598.9267578125,149.73189163208008,0.19999999999999996,1.680419921875,0.26256561279296875,0.06510162353515625,0.13016510009765625,49.69459104537964
8,8,0.3,95.11,90.97,4.140000000000001,0.31030680932998655,1.9281997680664062,8.532264709472656,4.424990009219216,3.9999945989073438,598.9267578125,149.73189163208008,0.30000000000000004,1.470367431640625,0.26256561279296875,0.06510162353515625,0.13016510009765625,53.12146711349487
